"";"Group.1";"IDegree";"ODegree";"IStrength";"OStrength";"Betweenness";"Closeness";"Eigenvector";"PageRank"
"1";"Administration";0,3294;0,3294;11,2;11,2;0,0848;0,571;0,4012;0,0338
"2";"Citizen Group";0,210666666666667;0,210666666666667;7,16666666666667;7,16666666666667;0,0065;0,545;0,3355;0,0208333333333333
"3";"Legislative Branch";0,2795;0,2795;9,5;9,5;0,01425;0,543;0,391;0,02675
"4";"Parties";0,4375;0,4375;14,875;14,875;0,021125;0,63075;0,704625;0,037125
"5";"Private Sector";0,288727272727273;0,288727272727273;9,81818181818182;9,81818181818182;0,0125454545454545;0,580363636363636;0,481;0,0268181818181818
"6";"Science";0,059;0,059;2;2;0;0,5;0,118;0,009
